Type d'instr;Isin;Classe d'actifs;Nom;Symbole;Banques Dispo;Devise;Taux;Date de fin;Qualité credit;TER;Cap/Dis;ESG;Replication;Taille du Fonds;Positions;Couverture de change;USA;Japon;Grande Bretagne;Canada;Pays Emergeants Hors Chine et Japon;Australie;Suède;Suisse;Chine;Israel;Allemagne;Nouvelle Zelande;Pays-Bas;Irlande;Espagne;Italie;France;Autre Pays;Etats;Industrie;Finance;Consommation Cyclique;Technologie;Santé;Consommation Defensive;Communication;Immobilier;Matières Premières;Energie;Service Publiques;Services de consommation;Autre Secteur;Etats2;Banque Emetteur;Entreprises;Autre Emetteur;CodeBank
Fonds;LU0119196268;mixte;Goldman Sachs Patrimonial Balanced;119196268;;;;;;1,49;D;;;1100;100;Non;60;6;3;3;2;0;0;2;6;0;2;0;0;0;0;0;2;14;0;11;18;10;29;9;6;9;2;4;0;1;0;1;0;0;0;0;Goldman Sachs Funds V Goldman Sachs Patrimonial Balanced P Dis EUR
Fonds;LU0504302604;mixte;Triodos Impact Mixed Fund-Neutral EUR R Distribution;S79704990;;;;;;1,5;D;;;519;100;Non;49;5;9;0;4;0;0;4;0;0;5;0;4;0;0;0;6;14;0;18;3;8;28;18;10;5;0;3;0;4;0;3;0;0;0;0;Triodos Sicav I Triodos Impact Mixed Fund - Neutral Euro R dis
